id,timestamp,ABSOLUTE_LOAD,ACCELERATOR_POS_D,ACCELERATOR_POS_E,BAROMETRIC_PRESSURE,CALIBRATION_ID,CONTROL_MODULE_VOLTAGE,COOLANT_TEMP,DISTANCE_SINCE_DTC_CLEAR,DISTANCE_W_MIL,ELM_VERSION,ELM_VOLTAGE,ENGINE_LOAD,EVAPORATIVE_PURGE,FUEL_STATUS,GET_CURRENT_DTC,GET_DTC,INTAKE_PRESSURE,INTAKE_TEMP,LONG_FUEL_TRIM_1,MIDS_A,MIDS_B,MONITOR_CATALYST_B1,MONITOR_O2_B1S1,MONITOR_VVT_B1,O2_B1S1,O2_B1S2,O2_SENSORS,OBD_COMPLIANCE,PIDS_9A,PIDS_A,PIDS_B,PIDS_C,RELATIVE_THROTTLE_POS,RPM,RUN_TIME,SHORT_FUEL_TRIM_1,SPEED,STATUS,THROTTLE_ACTUATOR,THROTTLE_POS,THROTTLE_POS_B,TIMING_ADVANCE,WARMUPS_SINCE_DTC_CLEAR
1,2025-04-22 14:37:39,29.41176470588235 percent,21.176470588235293 percent,10.980392156862745 percent,96 kilopascal,bytearray(b'33920-66R0*'),13.664 volt,90 degree_Celsius,0.0 kilometer,0.0 kilometer,ELM327 v2.1,13.2 volt,40.3921568627451 percent,0.0 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",[],[],49 kilopascal,53 degree_Celsius,0.0 percent,10000000000000000000000000000001,10000000000000000000100000000000,Unknown : 0.0 count [PASSED],Unknown : 0.0 millisecond [PASSED],"Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]",0.8 volt,0.155 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,9.411764705882353 percent,1622.5 revolutions_per_minute,256.0 second,2.34375 percent,45.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0xf6889df0>,18.431372549019606 percent,24.313725490196077 percent,24.313725490196077 percent,11.0 degree,0.0 count
2,2025-04-22 14:37:46,50.588235294117645 percent,31.764705882352942 percent,16.07843137254902 percent,96 kilopascal,bytearray(b'33920-66R0*'),13.735 volt,90 degree_Celsius,0.0 kilometer,N/A,ELM327 v2.1,13.2 volt,81.96078431372548 percent,0.0 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",[],[],32 kilopascal,52 degree_Celsius,0.0 percent,10000000000000000000000000000001,10000000000000000000100000000000,Unknown : 0.0 count [PASSED],Unknown : 0.0 millisecond [PASSED],"Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]",0.92 volt,0.185 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,11.372549019607844 percent,1428.0 revolutions_per_minute,262.0 second,4.6875 percent,51.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0xf68eacd0>,9.803921568627452 percent,18.03921568627451 percent,18.03921568627451 percent,6.0 degree,0.0 count
3,2025-04-22 14:37:53,21.176470588235293 percent,14.901960784313726 percent,7.450980392156863 percent,96 kilopascal,bytearray(b'33920-66R0*'),13.688 volt,90 degree_Celsius,0.0 kilometer,0.0 kilometer,ELM327 v2.1,13.4 volt,28.627450980392158 percent,0.0 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",[],[],32 kilopascal,52 degree_Celsius,0.0 percent,10000000000000000000000000000001,10000000000000000000100000000000,Unknown : 0.0 count [PASSED],Unknown : 0.0 millisecond [PASSED],"Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]",0.84 volt,0.175 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,11.372549019607844 percent,1326.0 revolutions_per_minute,269.0 second,4.6875 percent,47.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0xf68866b0>,15.686274509803921 percent,22.352941176470587 percent,21.96078431372549 percent,8.0 degree,0.0 count
4,2025-04-22 14:38:00,70.19607843137254 percent,37.64705882352941 percent,18.823529411764707 percent,96 kilopascal,bytearray(b'33920-66R0*'),13.711 volt,90 degree_Celsius,0.0 kilometer,0.0 kilometer,ELM327 v2.1,13.2 volt,35.68627450980392 percent,3.1372549019607843 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",[],[],45 kilopascal,52 degree_Celsius,0.0 percent,10000000000000000000000000000001,10000000000000000000100000000000,Unknown : 0.0 count [PASSED],Unknown : 0.0 millisecond [PASSED],"Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]",0.525 volt,0.215 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,9.019607843137255 percent,1406.0 revolutions_per_minute,276.0 second,-4.6875 percent,50.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0xf68eacd0>,11.372549019607844 percent,17.254901960784313 percent,17.647058823529413 percent,6.5 degree,0.0 count
5,2025-04-22 14:38:07,20.392156862745097 percent,14.901960784313726 percent,7.450980392156863 percent,96 kilopascal,bytearray(b'33920-66R0*'),13.735 volt,90 degree_Celsius,0.0 kilometer,0.0 kilometer,ELM327 v2.1,13.8 volt,26.274509803921568 percent,9.411764705882353 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",[],[],31 kilopascal,52 degree_Celsius,0.0 percent,10000000000000000000000000000001,10000000000000000000100000000000,Unknown : 0.0 count [PASSED],Unknown : 0.0 millisecond [PASSED],"Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]",0.05 volt,0.18 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,7.450980392156863 percent,1324.5 revolutions_per_minute,283.0 second,-5.46875 percent,46.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0xf68ead90>,9.803921568627452 percent,17.647058823529413 percent,17.254901960784313 percent,8.0 degree,0.0 count
6,2025-04-22 14:38:14,21.56862745098039 percent,14.901960784313726 percent,7.450980392156863 percent,96 kilopascal,bytearray(b'33920-66R0*'),13.735 volt,90 degree_Celsius,0.0 kilometer,0.0 kilometer,ELM327 v2.1,13.1 volt,30.19607843137255 percent,12.156862745098039 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",[],[],35 kilopascal,51 degree_Celsius,0.0 percent,10000000000000000000000000000001,10000000000000000000100000000000,Unknown : 0.0 count [PASSED],Unknown : 0.0 millisecond [PASSED],"Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]",0.88 volt,0.165 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,7.450980392156863 percent,877.0 revolutions_per_minute,290.0 second,-6.25 percent,28.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0xf68ea130>,10.588235294117647 percent,18.431372549019606 percent,18.03921568627451 percent,-4.0 degree,0.0 count
7,2025-04-22 14:38:21,31.764705882352942 percent,14.901960784313726 percent,7.450980392156863 percent,96 kilopascal,bytearray(b'33920-66R0*'),13.593 volt,90 degree_Celsius,0.0 kilometer,0.0 kilometer,ELM327 v2.1,13.4 volt,41.568627450980394 percent,0.0 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",[],[],53 kilopascal,51 degree_Celsius,0.0 percent,10000000000000000000000000000001,10000000000000000000100000000000,Unknown : 0.0 count [PASSED],Unknown : 0.0 millisecond [PASSED],"Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]",0.08 volt,0.155 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,10.196078431372548 percent,668.0 revolutions_per_minute,297.0 second,10.15625 percent,10.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0xf6886610>,18.03921568627451 percent,23.92156862745098 percent,23.92156862745098 percent,-1.0 degree,0.0 count
8,2025-04-22 14:38:28,71.37254901960785 percent,38.8235294117647 percent,19.607843137254903 percent,96 kilopascal,bytearray(b'33920-66R0*'),13.711 volt,90 degree_Celsius,0.0 kilometer,0.0 kilometer,ELM327 v2.1,13.6 volt,86.27450980392157 percent,0.0 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",[],[],75 kilopascal,51 degree_Celsius,0.0 percent,10000000000000000000000000000001,10000000000000000000100000000000,Unknown : 0.0 count [PASSED],Unknown : 0.0 millisecond [PASSED],"Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]",0.87 volt,0.43 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,8.627450980392156 percent,1451.0 revolutions_per_minute,304.0 second,3.125 percent,29.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0xf68eab90>,9.411764705882353 percent,17.647058823529413 percent,20.784313725490197 percent,12.5 degree,0.0 count
9,2025-04-22 14:38:35,52.549019607843135 percent,33.72549019607843 percent,16.862745098039216 percent,96 kilopascal,bytearray(b'33920-66R0*'),13.711 volt,90 degree_Celsius,0.0 kilometer,0.0 kilometer,ELM327 v2.1,13.2 volt,35.68627450980392 percent,0.0 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",[],[],54 kilopascal,51 degree_Celsius,0.0 percent,10000000000000000000000000000001,10000000000000000000100000000000,Unknown : 0.0 count [PASSED],Unknown : 0.0 millisecond [PASSED],"Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]",0.835 volt,0.185 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,9.803921568627452 percent,1639.5 revolutions_per_minute,311.0 second,7.03125 percent,34.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0xf68861d0>,9.803921568627452 percent,17.647058823529413 percent,17.647058823529413 percent,19.5 degree,0.0 count
10,2025-04-22 14:38:42,41.96078431372549 percent,30.19607843137255 percent,15.294117647058824 percent,96 kilopascal,bytearray(b'33920-66R0*'),13.735 volt,89 degree_Celsius,0.0 kilometer,0.0 kilometer,ELM327 v2.1,13.2 volt,29.80392156862745 percent,0.0 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",[],[],45 kilopascal,51 degree_Celsius,0.0 percent,10000000000000000000000000000001,10000000000000000000100000000000,Unknown : 0.0 count [PASSED],Unknown : 0.0 millisecond [PASSED],"Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]",0.03 volt,0.18 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,11.764705882352942 percent,1690.0 revolutions_per_minute,318.0 second,1.5625 percent,35.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0xf68ead90>,18.823529411764707 percent,24.705882352941178 percent,24.313725490196077 percent,14.0 degree,0.0 count
